Latitude,Longitude,Name,State,Country
13.5,76.75,Gubbi taluk,Karnataka,IN
13.5,79.25,Ramachandrapuram,Andhra Pradesh,IN
13.5,79.75,K.V.B.Puram,Andhra Pradesh,IN
13.5,78.75,Chowdepalle,Andhra Pradesh,IN
13.75,76.0,Ajjampura taluku,Karnataka,IN
13.75,75.25,Tirthahalli taluk,Karnataka,IN
13.75,74.75,Kundapura,Karnataka,IN
13.75,75.0,Hosanagara taluk,Karnataka,IN
13.5,77.75,Chikkaballapura taluk,Karnataka,IN
13.75,76.25,Hosadurga taluku,Karnataka,IN
13.75,76.5,Hosadurga taluku,Karnataka,IN
13.75,76.75,Sira taluk,Karnataka,IN
13.75,77.0,Agali,Andhra Pradesh,IN
13.75,77.25,Madhugiri taluk,Karnataka,IN
13.75,77.5,Hindupur,Andhra Pradesh,IN
13.75,77.75,Gudibande taluk,Karnataka,IN
13.75,74.5,India,,IN
13.75,78.25,Pedda Thippasamudram,Andhra Pradesh,IN
13.75,78.0,Bagepalli taluk,Karnataka,IN
13.75,78.5,Thamballapalle,Andhra Pradesh,IN
13.75,78.75,Kalikiri,Andhra Pradesh,IN
13.75,79.0,Pileru,Andhra Pradesh,IN
13.75,79.25,Tirupati (Urban),Andhra Pradesh,IN
13.75,79.75,Thottambedu,Andhra Pradesh,IN
14.0,74.75,Sagara taluk,Karnataka,IN
13.75,80.0,Doravarisatram,Andhra Pradesh,IN
14.0,75.0,Sagara taluk,Karnataka,IN
13.75,79.5,Renigunta,Andhra Pradesh,IN
14.0,75.25,Hosanagara taluk,Karnataka,IN
14.0,75.5,Shivamogga,Karnataka,IN
14.0,76.0,Channagiri taluku,Karnataka,IN
14.0,75.75,Bhadravathi,Karnataka,IN
14.0,76.25,Holalkere taluk,Karnataka,IN
14.0,76.75,Hiriyuru taluk,Karnataka,IN
14.0,76.5,Hiriyuru taluk,Karnataka,IN
13.75,80.25,India,,IN
14.0,74.5,India,,IN
14.0,77.0,Amarapuram,Andhra Pradesh,IN
14.0,77.75,Gorantla,Andhra Pradesh,IN
14.0,77.5,Somandepalle,Andhra Pradesh,IN
14.0,77.25,Madakasira,Andhra Pradesh,IN
