Latitude,Longitude,Name,State,Country
24.5,76.5,Khanpur Tehsil,Rajasthan,IN
24.5,83.5,Ketar,Jharkhand,IN
24.5,88.5,Godagari Upazila,Rajshahi Division,BD
24.5,91.5,Nabiganj Upazila,Sylhet Division,BD
24.5,93.5,Henglep,Manipur,IN
25.5,73.5,Rani Tehsil,Rajasthan,IN
25.5,71.5,Barmer Tehsil,Rajasthan,IN
24.5,94.5,Tamu Township,Sagaing,MM
24.5,92.5,Ramkrishna Nagar,Assam,IN
25.5,72.5,Siwana Tehsil,Rajasthan,IN
25.5,70.5,Dali,Sindh,PK
25.5,74.5,Mandal Tehsil,Rajasthan,IN
25.5,75.5,Hindoli Tehsil,Rajasthan,IN
25.5,76.5,Pipalda Tehsil,Rajasthan,IN
25.5,77.5,Pohri Tahsil,Madhya Pradesh,IN
23.5,71.5,Kachchh,Gujarat,IN
24.5,87.5,Gopikandar,Jharkhand,IN
25.5,78.5,Jhansi,Uttar Pradesh,IN
25.5,79.5,Rath,Uttar Pradesh,IN
21.5,72.5,Bharūch,Gujarat,IN
21.5,71.5,Gariadhar Taluka,Gujarat,IN
25.5,80.5,Banda,Uttar Pradesh,IN
25.5,81.5,Chail,Uttar Pradesh,IN
25.5,82.5,Mariahu,Uttar Pradesh,IN
26.5,76.5,Bamanwas Tehsil,Rajasthan,IN
25.5,83.5,Zamania,Uttar Pradesh,IN
25.5,94.5,Chingai,Manipur,IN
25.5,84.5,Jagdishpur,Bihar,IN
25.5,91.5,Mawthadraishan,Meghalaya,IN
26.5,73.5,Bhopalgarh Tehsil,Rajasthan,IN
26.5,86.5,Laukaha,Bihar,IN
25.5,93.5,Kebai Khelma,Nagaland,IN
25.5,92.5,Laskein,Meghalaya,IN
26.5,80.5,Unnao,Uttar Pradesh,IN
26.5,71.5,Pokaran Tehsil,Rajasthan,IN
25.5,86.5,Khagaria,Bihar,IN
25.5,90.5,Samanda,Meghalaya,IN
25.5,85.5,Bakhtiarpur,Bihar,IN
26.5,92.5,Dhing,Assam,IN
25.5,87.5,Barari,Bihar,IN
26.5,72.5,Balesar Tehsil,Rajasthan,IN
26.5,82.5,Akbarpur,Uttar Pradesh,IN
26.5,87.5,Drabesha,,NP
26.5,70.5,Jaisalmer Tehsil,Rajasthan,IN
26.5,91.5,Ghograpar (Pt),Assam,IN
26.5,88.5,Tetulia,Rangpur Division,BD
26.5,74.5,Pushkar Tehsil,Rajasthan,IN
26.5,77.5,Sarmathura Tehsil,Rajasthan,IN
25.5,88.5,Kushmundi,West Bengal,IN
26.5,78.5,Gormi Tahsil,Madhya Pradesh,IN
26.5,85.5,Runisaidpur,Bihar,IN
26.5,81.5,Tiloi,Uttar Pradesh,IN
26.5,79.5,Auraiya,Uttar Pradesh,IN
26.5,84.5,Gopalganj,Bihar,IN
26.5,89.5,Alipurduar,West Bengal,IN
26.5,83.5,Chauri Chaura,Uttar Pradesh,IN
26.5,75.5,Phagi Tehsil,Rajasthan,IN
26.5,90.5,Sidli (Pt),Assam,IN
26.5,93.5,Silonijan,Assam,IN
26.5,94.5,Alongkima,Nagaland,IN
26.5,95.5,Nanyun Township,Sagaing,MM
27.5,70.5,Jaisalmer Tehsil,Rajasthan,IN
27.5,69.5,Pano Akil Cantonment,Sindh,PK
27.5,71.5,Pokaran Tehsil,Rajasthan,IN
27.5,72.5,Bap Tehsil,Rajasthan,IN
21.5,82.5,Kasdol Tahsil,Chhattisgarh,IN
21.5,78.5,Narkhed,Maharashtra,IN
21.5,74.5,Shahade,Maharashtra,IN
27.5,73.5,Nokha Tehsil,Rajasthan,IN
27.5,74.5,Ladnu Tehsil,Rajasthan,IN
27.5,75.5,Khandela Tehsil,Rajasthan,IN
27.5,93.5,Mengio EAC,Arunachal Pradesh,IN
27.5,79.5,Kaimganj,Uttar Pradesh,IN
